Service, Operation, UsageType, Resource, StartTime, EndTime, UsageValue
AmazonS3,GetObject,DataTransfer-Out-Bytes,actions.energyactioncoalition.org,"Jun 1, 2008 12:00 AM","Jun 2, 2008 12:00 AM",807155
AmazonS3,GetObject,DataTransfer-Out-Bytes,events.unitedforpeace.org,"Jun 1, 2008 12:00 AM","Jun 2, 2008 12:00 AM",872812
AmazonS3,GetObject,DataTransfer-Out-Bytes,events.momsrising.org,"Jun 1, 2008 12:00 AM","Jun 2, 2008 12:00 AM",2217700
AmazonS3,GetObject,DataTransfer-Out-Bytes,events.radicaldesigns.org,"Jun 1, 2008 12:00 AM","Jun 2, 2008 12:00 AM",693
AmazonS3,GetObject,DataTransfer-Out-Bytes,actionecho.radicaldesigns.org,"Jun 1, 2008 12:00 AM","Jun 2, 2008 12:00 AM",1757415
AmazonS3,GetObject,DataTransfer-Out-Bytes,everythingscool.org,"Jun 1, 2008 12:00 AM","Jun 2, 2008 12:00 AM",127720
AmazonS3,GetObject,DataTransfer-Out-Bytes,events.catalogcutdown.org,"Jun 1, 2008 12:00 AM","Jun 2, 2008 12:00 AM",72441
AmazonS3,GetObject,DataTransfer-Out-Bytes,events.womenarts.org,"Jun 1, 2008 12:00 AM","Jun 2, 2008 12:00 AM",258
AmazonS3,ListBucket,DataTransfer-Out-Bytes,stepitup2007.org,"Jun 1, 2008 12:00 AM","Jun 2, 2008 12:00 AM",462
AmazonS3,UnknownAction,DataTransfer-Out-Bytes,codepink4peace.org,"Jun 1, 2008 12:00 AM","Jun 2, 2008 12:00 AM",15296
AmazonS3,UnknownAction,DataTransfer-Out-Bytes,corpwatch.org,"Jun 1, 2008 12:00 AM","Jun 2, 2008 12:00 AM",396
AmazonS3,GetObject,DataTransfer-Out-Bytes,corpwatch.org,"Jun 2, 2008 12:00 AM","Jun 3, 2008 12:00 AM",391535274
AmazonS3,GetObject,DataTransfer-Out-Bytes,stepitup2007.org,"Jun 2, 2008 12:00 AM","Jun 3, 2008 12:00 AM",221208064
AmazonS3,GetObject,DataTransfer-Out-Bytes,codepink4peace.org,"Jun 2, 2008 12:00 AM","Jun 3, 2008 12:00 AM",805880591
AmazonS3,GetObject,DataTransfer-Out-Bytes,seiuvoice.org,"Jun 2, 2008 12:00 AM","Jun 3, 2008 12:00 AM",696693211
AmazonS3,GetObject,DataTransfer-Out-Bytes,actions.energyactioncoalition.org,"Jun 2, 2008 12:00 AM","Jun 3, 2008 12:00 AM",735588
AmazonS3,GetObject,DataTransfer-Out-Bytes,notyoursoldier.org,"Jun 2, 2008 12:00 AM","Jun 3, 2008 12:00 AM",2242325434
AmazonS3,GetObject,DataTransfer-Out-Bytes,events.unitedforpeace.org,"Jun 2, 2008 12:00 AM","Jun 3, 2008 12:00 AM",732740
AmazonS3,GetObject,DataTransfer-Out-Bytes,everythingscool.org,"Jun 2, 2008 12:00 AM","Jun 3, 2008 12:00 AM",95629
AmazonS3,GetObject,DataTransfer-Out-Bytes,actionecho.radicaldesigns.org,"Jun 2, 2008 12:00 AM","Jun 3, 2008 12:00 AM",10175119
AmazonS3,GetObject,DataTransfer-Out-Bytes,events.catalogcutdown.org,"Jun 2, 2008 12:00 AM","Jun 3, 2008 12:00 AM",289364
AmazonS3,GetObject,DataTransfer-Out-Bytes,events.momsrising.org,"Jun 2, 2008 12:00 AM","Jun 3, 2008 12:00 AM",2044088
AmazonS3,GetObject,DataTransfer-Out-Bytes,unitedforpeace.org,"Jun 2, 2008 12:00 AM","Jun 3, 2008 12:00 AM",134461
